band_gap,formation_energy_per_atom,full_formula,task_id
3.2107,-2.493849503303572,Dy16Te24O72,mp-558224
5.2063000000000015,-3.065528495746124,Sr8B28O50,mp-559330
1.6195,-2.1969707218055547,Ba6Zn10In4O22,mp-560544
1.1308000000000002,-1.5332884492968752,Sr2Lu2Cu2Se6,mp-568191
0.6025,-0.4044036197499999,Tc8Br32,mp-570480
2.5338000000000003,-1.6649072809920686,Cs12Cu8Cl20,mp-582024
3.7131,-2.9139264416666677,Ba8Ti4Ge8O32,mp-6289
3.1474,-3.2258761519526185,Cs2Ti2Zn2O2F10,mp-676448
0.2591000000000001,-0.9849116183976284,Cs4Ta4Se12,mp-685607
1.3435,-2.556864113081818,K4Mn2H4O2F10,mp-696630
0.8248999999999999,-1.83875310575,Na4Co2As2C2O14,mp-772664
0.6421000000000001,-1.6555031428924998,K8F24,mp-867934
1.8334,-2.5996132265969227,Na2Cr1H2F8,mp-973225
1.5869,-2.367589618707143,Zn2Co2F10,mvc-14327
2.0976,-2.8379532904928575,Ca4Ni4F20,mvc-3744
0.08329999999999993,-1.0859083058333336,Sr6As6,mp-1049
5.0398,-2.916546965941327,K2Ca2P6O18,mp-11625
0.21370000000000025,-0.02086760188333301,Sm1Mg149,mp-1187791
2.7982,-1.377732994431111,Bi4Te4N4O24,mp-1195032
4.222,-2.094816740927083,K4Sb4S8O32,mp-1195296
1.4691,-2.8059070064914287,K4Mn4P4O12F12,mp-1198325
0.1459999999999999,-1.4313696446590918,Cu4Te8Pb4O28,mp-1203135
2.5032,-1.716862424589844,Mo4Pb2Se4O22,mp-1204412
1.5290000000000001,-1.7171247769687497,Ba2Pd2Se4O12,mp-1205352
3.7865,-2.790983849671698,Rb36Mg12B58O116F2,mp-1200013
0.7229000000000001,-2.4148405421802432,Rb4Cu4P12O36,mp-1209760
2.5600000000000005,-3.5037235173369567,Ba10Ho4Zr2Al4O26,mp-1214508
5.0791,-3.56698303982639,Y4Be2Al2B2O14,mp-1216100
2.5615,-3.0091991881622233,Ta4Mn4Nb4O24,mp-1217948
1.4658000000000002,-1.1255605952812502,K1Bi1S2,mp-1223443
2.6507000000000005,-3.444086610583335,Gd2B2O6,mp-1224628
0.3534000000000006,-1.096826757797619,Al1Cr4Ag1S8,mp-1228999
6.4009,-3.4827155546822226,Li2Ca2Ga2F12,mp-12829
